gene,median_log2fc,combined_p,evidence_score,gene_name,gene_type,ad_evidence_level,human_ad_evidence,mechanistic_evidence,synaptic_evidence,tau_evidence,amyloid_evidence,neuroinflammation_evidence,pmid,literature_note,pubmed_total_hits,papers_reviewed_auto,auto_evidence_level,human_hits,mechanistic_hits,synaptic_hits,tau_hits,amyloid_hits,neuroinflammation_hits,pmids_auto,top_titles
ACSL6,-0.5839895152948502,0.0007458299482065,0.2919947576474251,acyl-CoA synthetase long chain family member 6,protein-coding,,,,,,,,,,2,2,limited_candidate,2,2,1,0,0,0,36438927;33891334,A Bioinformatics Perspective on the Dysregulation of Ferroptosis and Ferroptosis-related Immune Cell Infiltration in Alzheimer's Disease. || APOE4 genotype exacerbates the impact of menopause on cognition and synaptic plasticity in APOE-TR mice.
SNORA77,0.5813066196769257,0.0077744889276409,0.2906533098384628,"small nucleolar RNA, H/ACA box 77",snoRNA,,,,,,,,,,0,0,unclear,0,0,0,0,0,0,,
FBXW7,-0.5588569709771969,0.0067455224999539,0.2794284854885984,F-box and WD repeat domain containing 7,protein-coding,,,,,,,,,,9,9,strong_candidate,6,9,4,5,3,2,42161904;41311387;40734451;42138198;41081092;35310542;34512273;38920643;41868751,FBXW7alpha regulates amyloid pathology by mediating ubiquitination and degradation of BACE1 in Alzheimer's disease. || Sorafenib promotes the E3 ubiquitin ligase FBXW7 to increase tau degradation and ameliorate tauopathies. || Integrated transcriptomic and proteomic analysis identifies FBXW7 as a key regulator of tau homeostasis in Alzheimer's disease. || miR‑223‑3p promotes microglial lactylation and M1 polarization via the FBXW7/Notch1/Hes1/SIRT1 axis. || Bioinformatic analysis and experimental validation of hub autophagy-related genes as novel biomarkers for type 2 diabetes mellitus and Alzheimer's disease.
JUP,0.548871158509213,0.0025824883973548,0.2744355792546065,junction plakoglobin,protein-coding,,,,,,,,,,3,3,limited_candidate,2,2,2,0,1,0,36578035;40276647;15857685,"Proteomics of the dentate gyrus reveals semantic dementia specific molecular pathology. || DEAD-Box Helicase 6 Blockade in Brain-Derived Abeta Oligomers From Alzheimer's Disease Patients Attenuates Neurotoxicity. || Expression of Catenin family members CTNNA1, CTNNA2, CTNNB1 and JUP in the primate prefrontal cortex and hippocampus."
RFTN2,0.5427608855567154,0.0085455034509999,0.2713804427783577,raftlin family member 2,protein-coding,,,,,,,,,,0,0,unclear,0,0,0,0,0,0,,
PTPN5,-0.5358324384316981,0.0054130173821505,0.267916219215849,protein tyrosine phosphatase non-receptor type 5,protein-coding,,,,,,,,,,5,5,moderate_candidate,2,4,3,2,1,0,33922601;37458988;37558948;24762948;22840751,Development of a Robust High-Throughput Screening Platform for Inhibitors of the Striatal-Enriched Tyrosine Phosphatase (STEP). || Role of Non-Receptor-Type Tyrosine Phosphatases in Brain-Related Diseases. || Detection of Cellular Target Engagement for Small-Molecule Modulators of Striatal-Enriched Protein Tyrosine Phosphatase (STEP). || Hidden risk genes with high-order intragenic epistasis in Alzheimer's disease. || Striatal-enriched protein tyrosine phosphatase in Alzheimer's disease.
GLTP,0.5311330551950686,0.0072279947788541,0.2655665275975343,glycolipid transfer protein,protein-coding,,,,,,,,,,2,2,limited_candidate,1,2,2,1,1,0,35867714;21453246,Stimulation of synaptic activity promotes TFEB-mediated clearance of pathological MAPT/Tau in cellular and mouse models of tauopathies. || Impaired neural transmission and synaptic plasticity in superior cervical ganglia from beta-amyloid rat model of Alzheimer's disease.
GRIA3,-0.5310144041978022,0.0040302495144561,0.2655072020989011,glutamate ionotropic receptor AMPA type subunit 3,protein-coding,,,,,,,,,,4,4,moderate_candidate,2,2,2,2,1,1,41390089;29324989;41024644;27453991,Integrating multimodal data to identify single nucleotide polymorphism-related biomarkers and regulatory mechanisms in Alzheimer's disease. || Synaptic markers of cognitive decline in neurodegenerative diseases: a proteomic approach. || TMTCrunch: A Proteomic Atlas of Alternative Splicing for Predicting Splicing-Induced Implications in Aging and Alzheimer's Disease. || A novel approach for multi-SNP GWAS and its application in Alzheimer's disease.
ABCD4,0.5299572284589207,0.005753245639479,0.2649786142294603,ATP binding cassette subfamily D member 4,protein-coding,,,,,,,,,,1,1,limited_candidate,1,0,0,0,0,0,23754956,Genetic architecture of vitamin B12 and folate levels uncovered applying deeply sequenced large datasets.
YWHAG,-0.5264359893082284,0.0057262155265269,0.2632179946541142,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,protein-coding,,,,,,,,,,14,10,strong_candidate,9,7,7,6,7,4,40164724;41449232;38987357;41561087;39144488;38559166;30578620;41957344;37277809;42297098,"A cerebrospinal fluid synaptic protein biomarker for prediction of cognitive resilience versus decline in Alzheimer's disease. || Proteins Associated with Cognition in Amyloid-beta Positive Elders Based on Cerebrospinal Fluid Proteomics. || Multiplex cerebrospinal fluid proteomics identifies biomarkers for diagnosis and prediction of Alzheimer's disease. || Charting the research frontier for viral infections, immunomodulation, and dementia: a perspective on synaptic biomarkers as essential clinical trial endpoints. || Role of 14-3-3 protein family in the pathobiology of EBV in immortalized B cells and Alzheimer's disease."
CA2,0.5230870111641419,0.0091103708175644,0.2615435055820709,carbonic anhydrase 2,protein-coding,,,,,,,,,,3152,10,strong_candidate,3,10,5,3,6,3,29874566;38715119;37192560;25408503;22301681;27045242;40127100;39711489;41986732;40799120,Hallmarks of Brain Aging: Adaptive and Pathological Modification by Metabolic States. || Neuroinflammation is associated with Alzheimer's disease co-pathology in dementia with Lewy bodies. || Mitochondrial Ca(2+) signaling and Alzheimer's disease: Too much or too little? || Neuroprotection by saponins. || Dysregulation of Ca2+ homeostasis in Alzheimer's disease: role in acetylcholinesterase production and AMPA receptor internalization.
E2F3,-0.5228735243096998,6.448537184651977e-05,0.2614367621548499,E2F transcription factor 3,protein-coding,,,,,,,,,,2,2,limited_candidate,2,2,0,0,0,1,34609116;25364765,Genetic associated complications of type 2 diabetes mellitus. || Cardio-miRNAs and onco-miRNAs: circulating miRNA-based diagnostics for non-cancerous and cancerous diseases.
RFFL,0.5172226310226424,0.0077011942270294,0.2586113155113212,ring finger and FYVE like domain containing E3 ubiquitin protein ligase,protein-coding,,,,,,,,,,0,0,unclear,0,0,0,0,0,0,,
DPP6,-0.5130071940484413,0.0089005158901476,0.2565035970242206,dipeptidyl peptidase like 6,protein-coding,,,,,,,,,,9,9,strong_candidate,4,6,6,2,1,1,36209950;40109277;41024644;41977406;30874922;25740212;33225987;33591373;33591372,Alzheimer's disease/dementia-associated brain pathology in aging DPP6-KO mice. || The role of DPP6 dysregulation in neuropathology: from synaptic regulation to disease mechanisms. || TMTCrunch: A Proteomic Atlas of Alternative Splicing for Predicting Splicing-Induced Implications in Aging and Alzheimer's Disease. || DPP6 Loss Causes Age-Dependent Sleep Dysregulation and Depression-like Phenotypes Linked to Neurodegeneration. || Loss of DPP6 in neurodegenerative dementia: a genetic player in the dysfunction of neuronal excitability.
ADRA1B,-0.5084535650347393,0.0046162758357438,0.2542267825173696,adrenoceptor alpha 1B,protein-coding,,,,,,,,,,1,1,limited_candidate,1,1,1,0,0,0,42427719,Neuroticism is linked to cognitive decline and increased risk of Alzheimer's disease through dysregulation of excitatory neurons.
RTKN2,-0.5063942728010546,0.0092848893464303,0.2531971364005273,rhotekin 2,protein-coding,,,,,,,,,,2,2,limited_candidate,2,1,1,0,1,0,39702044;29066835,Genetic and neuro-epigenetic effects of divergent artificial selection for feather pecking behaviour in chickens. || Cellular hormetic response to 27-hydroxycholesterol promotes neuroprotection through AICD induction of MAST4 abundance and kinase activity.
HES4,-0.5033214173394533,0.0016274327627552,0.2516607086697267,hes family bHLH transcription factor 4,protein-coding,,,,,,,,,,2,2,limited_candidate,2,2,0,0,0,0,41602168;35592698,RNA transcripts in salivary extracellular vesicle cargo isolated from aged populations. || Exercise Modifies the Transcriptional Regulatory Features of Monocytes in Alzheimer's Patients: A Multi-Omics Integration Analysis Based on Single Cell Technology.
PREP,-0.5007703483369292,0.0006856007427762,0.2503851741684646,prolyl endopeptidase,protein-coding,,,,,,,,,,30,10,strong_candidate,5,9,4,2,3,2,42254865;29998529;37002885;31759088;30079347;29183787;32491259;37165090;31610373;37486018,Mass spectrometry-based proteomic profiling of human tauopathy brains suggests mitochondria-associated alterations. || Extracellular prolyl oligopeptidase derived from activated microglia is a potential neuroprotection target. || Presequence protease reverses mitochondria-specific amyloid-beta-induced mitophagy to protect mitochondria. || Prolyl oligopeptidase inhibition activates autophagy via protein phosphatase 2A. || Ligustilide Ameliorates Memory Deficiency in APP/PS1 Transgenic Mice via Restoring Mitochondrial Dysfunction.
